"Dewater","Spawn_Flows","Prop_dewater","Boards","Run"
3250,14000,0.49,"in","Fall"
29000,15000,NA,"in","Fall"
27000,15000,NA,"in","Fall"
25000,15000,NA,"in","Fall"
23000,15000,NA,"in","Fall"
21000,15000,NA,"in","Fall"
19000,15000,NA,"in","Fall"
17000,15000,NA,"in","Fall"
15000,15000,NA,"in","Fall"
14000,15000,0.02,"in","Fall"
13000,15000,0.03,"in","Fall"
12000,15000,0.05,"in","Fall"
11000,15000,0.08,"in","Fall"
10000,15000,0.1,"in","Fall"
9000,15000,0.14,"in","Fall"
8000,15000,0.18,"in","Fall"
7500,15000,0.19,"in","Fall"
7000,15000,0.21,"in","Fall"
6500,15000,0.23,"in","Fall"
6000,15000,0.26,"in","Fall"
5500,15000,0.3,"in","Fall"
5250,15000,0.32,"in","Fall"
5000,15000,0.35,"in","Fall"
4750,15000,0.38,"in","Fall"
4500,15000,0.41,"in","Fall"
4250,15000,0.44,"in","Fall"
4000,15000,0.46,"in","Fall"
3750,15000,0.47,"in","Fall"
3500,15000,0.49,"in","Fall"
3250,15000,0.5,"in","Fall"
29000,17000,NA,"in","Fall"
27000,17000,NA,"in","Fall"
25000,17000,NA,"in","Fall"
23000,17000,NA,"in","Fall"
21000,17000,NA,"in","Fall"
19000,17000,NA,"in","Fall"
17000,17000,NA,"in","Fall"
15000,17000,0.03,"in","Fall"
14000,17000,0.05,"in","Fall"
13000,17000,0.07,"in","Fall"
12000,17000,0.09,"in","Fall"
11000,17000,0.12,"in","Fall"
10000,17000,0.13,"in","Fall"
9000,17000,0.17,"in","Fall"
8000,17000,0.21,"in","Fall"
7500,17000,0.22,"in","Fall"
7000,17000,0.23,"in","Fall"
6500,17000,0.25,"in","Fall"
6000,17000,0.28,"in","Fall"
5500,17000,0.32,"in","Fall"
5250,17000,0.34,"in","Fall"
5000,17000,0.38,"in","Fall"
4750,17000,0.41,"in","Fall"
4500,17000,0.44,"in","Fall"
4250,17000,0.46,"in","Fall"
4000,17000,0.48,"in","Fall"
3750,17000,0.49,"in","Fall"
3500,17000,0.5,"in","Fall"
3250,17000,0.52,"in","Fall"
29000,19000,NA,"in","Fall"
27000,19000,NA,"in","Fall"
25000,19000,NA,"in","Fall"
23000,19000,NA,"in","Fall"
21000,19000,NA,"in","Fall"
19000,19000,NA,"in","Fall"
17000,19000,0.02,"in","Fall"
15000,19000,0.05,"in","Fall"
14000,19000,0.07,"in","Fall"
13000,19000,0.08,"in","Fall"
12000,19000,0.1,"in","Fall"
11000,19000,0.12,"in","Fall"
10000,19000,0.14,"in","Fall"
9000,19000,0.17,"in","Fall"
8000,19000,0.2,"in","Fall"
7500,19000,0.22,"in","Fall"
7000,19000,0.23,"in","Fall"
6500,19000,0.25,"in","Fall"
6000,19000,0.28,"in","Fall"
5500,19000,0.31,"in","Fall"
5250,19000,0.34,"in","Fall"
5000,19000,0.38,"in","Fall"
4750,19000,0.41,"in","Fall"
4500,19000,0.44,"in","Fall"
4250,19000,0.46,"in","Fall"
4000,19000,0.48,"in","Fall"
3750,19000,0.49,"in","Fall"
3500,19000,0.51,"in","Fall"
3250,19000,0.52,"in","Fall"
29000,21000,NA,"in","Fall"
27000,21000,NA,"in","Fall"
25000,21000,NA,"in","Fall"
23000,21000,NA,"in","Fall"
21000,21000,NA,"in","Fall"
19000,21000,0.02,"in","Fall"
17000,21000,0.05,"in","Fall"
15000,21000,0.08,"in","Fall"
14000,21000,0.1,"in","Fall"
13000,21000,0.11,"in","Fall"
12000,21000,0.12,"in","Fall"
11000,21000,0.14,"in","Fall"
10000,21000,0.16,"in","Fall"
9000,21000,0.19,"in","Fall"
8000,21000,0.22,"in","Fall"
7500,21000,0.23,"in","Fall"
7000,21000,0.24,"in","Fall"
6500,21000,0.26,"in","Fall"
6000,21000,0.29,"in","Fall"
5500,21000,0.33,"in","Fall"
5250,21000,0.35,"in","Fall"
5000,21000,0.4,"in","Fall"
4750,21000,0.44,"in","Fall"
4500,21000,0.46,"in","Fall"
4250,21000,0.49,"in","Fall"
4000,21000,0.5,"in","Fall"
3750,21000,0.52,"in","Fall"
3500,21000,0.53,"in","Fall"
3250,21000,0.55,"in","Fall"
29000,23000,NA,"in","Fall"
27000,23000,NA,"in","Fall"
25000,23000,NA,"in","Fall"
23000,23000,NA,"in","Fall"
21000,23000,0.02,"in","Fall"
19000,23000,0.05,"in","Fall"
17000,23000,0.07,"in","Fall"
15000,23000,0.1,"in","Fall"
14000,23000,0.12,"in","Fall"
13000,23000,0.13,"in","Fall"
12000,23000,0.14,"in","Fall"
11000,23000,0.16,"in","Fall"
10000,23000,0.17,"in","Fall"
9000,23000,0.2,"in","Fall"
8000,23000,0.22,"in","Fall"
7500,23000,0.24,"in","Fall"
7000,23000,0.25,"in","Fall"
6500,23000,0.27,"in","Fall"
6000,23000,0.3,"in","Fall"
5500,23000,0.34,"in","Fall"
5250,23000,0.37,"in","Fall"
5000,23000,0.42,"in","Fall"
4750,23000,0.46,"in","Fall"
4500,23000,0.49,"in","Fall"
4250,23000,0.51,"in","Fall"
4000,23000,0.53,"in","Fall"
3750,23000,0.54,"in","Fall"
3500,23000,0.56,"in","Fall"
3250,23000,0.58,"in","Fall"
29000,25000,NA,"in","Fall"
